,session_ID,cell_idx,is_duplicate
0,695640480.0,0.0,False
1,695640480.0,1.0,False
2,695640480.0,2.0,False
3,695640480.0,3.0,True
4,695640480.0,4.0,True
5,695640480.0,5.0,True
6,695640480.0,6.0,True
7,695640480.0,7.0,True
8,695640480.0,8.0,True
9,695640480.0,9.0,True
10,695640480.0,10.0,True
11,695640480.0,11.0,True
12,695640480.0,12.0,False
13,698783832.0,0.0,False
14,698783832.0,1.0,True
15,698783832.0,2.0,True
16,698783832.0,3.0,False
17,698783832.0,4.0,True
18,698783832.0,5.0,False
19,698783832.0,6.0,True
20,698783832.0,7.0,True
21,698783832.0,8.0,True
22,698783832.0,9.0,True
23,698783832.0,10.0,False
24,698783832.0,11.0,True
25,698783832.0,12.0,False
26,698783832.0,13.0,False
27,698783832.0,14.0,False
28,774835587.0,0.0,True
29,774835587.0,1.0,True
30,774835587.0,2.0,False
31,774835587.0,3.0,False
32,774835587.0,4.0,False
33,774835587.0,5.0,False
34,792319003.0,0.0,False
35,792319003.0,1.0,False
36,792319003.0,2.0,False
37,792319003.0,3.0,False
38,792319003.0,4.0,False
39,792319003.0,5.0,True
40,792319003.0,6.0,True
